,0
0,Arkansas
1,Connecticut
2,Delaware
3,Georgia
4,Illinois
5,Indiana
6,Louisiana
7,Maine
8,Maryland
9,Nebraska
10,New Hampshire
11,Oklahoma
12,Pennsylvania
13,Rhode Island
14,Tennessee
15,Utah
16,Vermont
17,Wisconsin
18,Wyoming
